도로명코드,도로명,도로명로마자,읍면동일련번호,시도명,시도명로마자,시군구명,시군구명로마자,읍면동명,읍면동명로마자,읍면동구분,읍면동코드
411114322142,수성로245번길,"Suseong-ro 245beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",정자동,Jeongja-dong,1,130
411114322143,수성로258번길,"Suseong-ro 258beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322143,수성로258번길,"Suseong-ro 258beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",영화동,Yeonghwa-dong,1,134
411114322144,수성로261번길,"Suseong-ro 261beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322144,수성로261번길,"Suseong-ro 261beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",정자동,Jeongja-dong,1,130
411114322145,수성로262번길,"Suseong-ro 262beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322145,수성로262번길,"Suseong-ro 262beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",영화동,Yeonghwa-dong,1,134
411114322146,수성로275번길,"Suseong-ro 275beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322146,수성로275번길,"Suseong-ro 275beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",정자동,Jeongja-dong,1,130
411114322147,수성로276번길,"Suseong-ro 276beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322147,수성로276번길,"Suseong-ro 276beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",영화동,Yeonghwa-dong,1,134
411114322148,수성로289번길,"Suseong-ro 289beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322148,수성로289번길,"Suseong-ro 289beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",정자동,Jeongja-dong,1,130
411114322149,수성로290번길,"Suseong-ro 290beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322149,수성로290번길,"Suseong-ro 290beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",영화동,Yeonghwa-dong,1,134
411114322150,수성로303번길,"Suseong-ro 303beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322150,수성로303번길,"Suseong-ro 303beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",정자동,Jeongja-dong,1,130
411114322151,수성로304번길,"Suseong-ro 304beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
